,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,0.0,1.0,3.0,6.0,15.0
1,2018-09-16,2018-09-23,0.0,1.0,2.0,4.0,23.0
2,2018-09-16,2018-09-30,0.0,1.0,2.0,4.0,23.0
0,2018-10-07,2018-10-07,17.0,42.0,63.0,93.0,193.0
1,2018-10-07,2018-10-14,46.0,180.0,349.0,667.0,2309.0
2,2018-10-07,2018-10-21,46.0,180.0,349.0,667.0,2309.0
0,2018-10-28,2018-10-28,8.0,14.0,18.0,24.0,46.0
1,2018-10-28,2018-11-04,3.0,6.0,9.0,13.0,76.0
2,2018-10-28,2018-11-11,3.0,6.0,9.0,13.0,76.0
0,2018-11-25,2018-11-25,17.0,24.0,28.0,32.0,42.0
1,2018-11-25,2018-12-02,4.0,8.0,11.0,13.0,20.0
2,2018-11-25,2018-12-09,4.0,8.0,11.0,13.0,20.0
0,2018-12-16,2018-12-16,15.0,22.0,25.0,29.0,37.0
1,2018-12-16,2018-12-23,3.0,6.0,8.0,10.0,15.0
2,2018-12-16,2018-12-30,3.0,6.0,8.0,10.0,15.0
0,2019-01-06,2019-01-06,11.0,17.0,22.0,27.0,43.0
1,2019-01-06,2019-01-13,3.0,6.0,11.0,20.0,46.0
2,2019-01-06,2019-01-20,3.0,6.0,11.0,20.0,46.0
